ID,source text,Arabic translation,category,context,glossary terms used,notes
EL_M04_E15_3000,マオを連れ戻してくれたお礼に氷結の呪いについて教えてもらう。\nエリオットは氷結の呪いに関する情報を共有するため、学者の元へ戻る,مكافأةً على إعادة ماو، يتعلم عن لعنة التجميد.\nيعود إليوت إلى العالِم لمشاركة المعلومات المتعلقة بلعنة التجميد.,menu,,"エリオット,マオ",
EL_M05_A1MGC_E01_1000_M030_NPC0200_m,考えた上での決定だ。\n今後、ミュー族との交流と魔法の使用を一切禁じる！,هذا قرار اتُّخذ بعد تفكير عميق.\nيُمنع منعًا باتًا من الآن فصاعدًا التواصل مع عرق ميو واستخدام السحر!,menu,,"ミュー,魔法",
EL_M06_E04_1000,バケネコを倒した主人公。一体何者だったのか？と疑問は残るものの、目的は達成した\n主人公は急いで城に戻る,البطل يهزم القطة الوحشية. على الرغم من بقاء تساؤل حول هويتها الحقيقية،إلا أن الهدف قد تحقق.\nيعود البطل مسرعًا إلى القلعة.,menu,,ネコ,
EL_BA260AEA4FDDB33B3F6410814B77609B,<ja_InGame>日本語</>,<ja_InGame>اليابانية</>,ui,,日本語,
EL_E535EA6B4B87EB0E7BED96AEE7E737DE,<ja_Title>日本語</>,<ja_Title>اليابانية</>,ui,,日本語,
EL_MiniGameRecordAcqConditions01,スコア{0}　達成,تحقيق النتيجة {0},ui,,スコア,
EL_SubQuestType_BountyBomb,爆弾で{0}を倒す,هزيمة {0} باستخدام القنبلة,ui,,爆弾,
EL_BC5E39EA42ABED266025658C236B5804,Press FaceButton Right<cf>to PlayAllEffect,اضغط الزر الأيمن<cf>لتشغيل جميع التأثيرات,ui,,,
EL_6E903F704B8D134F41CBF588EA6DB778,Current Time: {0}<cf>Previous Time: {1},الوقت الحالي: {0}<cf>الوقت السابق: {1},ui,,,
EL_F7B3B91347610003BB883E83DDD84B25,[D-Pad] : Select<cf>[B]         : Spawn,[D-Pad]: تحديد<cf>[B]: توليد,ui,,,
