id,ftext_key,category,source_text,arabic_translation,notes,placeholders
EL_M01_E01_1000_M010_PCM000_m,M01_E01_1000_M010_PCM000_m,dialogue,……こんな旅立ちになってすまない。,……أنا آسف لأن رحيلنا آل إلى هذا.,Translated and verified.,[]
EL_M01_E01_1000_M020_PCM000_m,M01_E01_1000_M020_PCM000_m,dialogue,だが、封印は解けてしまった。\nもうこうするしかないんだ……,لكن الختم قد كُسر.\nولم يعد أمامنا خيار آخر……,Translated and verified.,"[""\\n""]"
EL_M01_E01_1000_M030_PCM000_m,M01_E01_1000_M030_PCM000_m,dialogue,これを。\n大切に持っているんだよ。,خذ هذا.\nواحتفظ به بعناية.,Translated and verified.,"[""\\n""]"
EL_M01_E01_1000_M040_PCM000_m,M01_E01_1000_M040_PCM000_m,dialogue,……君が最後の希望なんだ。\nどうか頼む――,……أنت الأمل الأخير.\nأرجوك――,Translated and verified.,"[""\\n""]"
EL_M01_E01_1000_M050_PCM000_m,M01_E01_1000_M050_PCM000_m,dialogue,…………を…………に……導いて――,………… قُدْ ………… إلى …………――,Translated and verified.,[]
EL_M01_E01_1000_M060_PCM000_m,M01_E01_1000_M060_PCM000_m,dialogue,封印を司る……族と……協力して…………を倒し……,تعاون مع…… عشيرة الختم…… واهزم ………………,Translated and verified.,[]
EL_M01_E01_1000_M070_PCM000_m,M01_E01_1000_M070_PCM000_m,dialogue,王国を――………………救ってくれ……！,وأنقذ――……………… المملكة……!,Translated and verified.,[]
EL_M01_E01_2000,M01_E01_2000,dialogue,王や学者たちが遺跡探索を主人公に頼もうと話をしている。,يتناقش الملك والعلماء حول تكليف البطل باستكشاف الأطلال.,Translated and verified.,[]
EL_M01_E01_2000_M010_NPC0030_m,M01_E01_2000_M010_NPC0030_m,dialogue,……新たな遺跡が見つかっただと？,……أتقول إنه قد عُثر على أطلال جديدة؟,Translated and verified.,[]
EL_M01_E01_2000_M020_NPC0020_m,M01_E01_2000_M020_NPC0020_m,dialogue,はい、記録にはない遺跡です。\nかなり古い時代の物と思われます。,نعم، إنها أطلال غير مدرجة في السجلات.\nونعتقد أنها تعود إلى عصر قديم جدًا.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M030_NPC0040_m,M01_E01_2000_M030_NPC0040_m,dialogue,ヒカルド陛下！\nさっそく兵士たちに調べさせましょう！,جلالة الملك هيكاردو!\nفلنرسل الجنود فورًا لاستكشافها!,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M040_NPC0030_m,M01_E01_2000_M040_NPC0030_m,dialogue,以前、そうして多くの兵士を失った。\nまた同じ過ちを繰り返す気か、カイフリード？,لقد فقدنا الكثير من الجنود بفعل ذلك سابقًا.\nهل تنوي تكرار الخطأ نفسه يا كايفرايد؟,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M050_NPC0040_m,M01_E01_2000_M050_NPC0040_m,dialogue,お言葉ですが、力を得るために犠牲はつきもの。\nすべてはヒューザー王国の未来のためです。,مع كامل احترامي، التضحية أمر لا مفر منه لاكتساب القوة.\nوكل هذا من أجل مستقبل مملكة هيوزر.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M060_NPC0030_m,M01_E01_2000_M060_NPC0030_m,dialogue,ひかえよ！\n王家の家訓を忘れたか。,الزم حدودك!\nأنسيت وصية العائلة المالكة؟,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M070_NPC0030_m,M01_E01_2000_M070_NPC0030_m,dialogue,『力に捉われることなかれ。\n　力を欲する者は、力によって滅ぶであろう』,『لا تكن أسيرًا للقوة.\n　فمن يبتغي القوة، سيهلك بها』,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M080_NPC0030_m,M01_E01_2000_M080_NPC0030_m,dialogue,偉大なる先祖――\n英雄王の言葉に従うのが余の務めだ。,من واجبي اتباع كلمات سلفنا العظيم――\nالملك البطل.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M090_NPC0040_m,M01_E01_2000_M090_NPC0040_m,dialogue,くっ……,تبًا……,Translated and verified.,[]
EL_M01_E01_2000_M100_NPC0040_m,M01_E01_2000_M100_NPC0040_m,dialogue,しかし、姫様の加護の魔法に\n王国の守りは頼りきっています。,لكن حماية المملكة تعتمد كليًا\nعلى سحر بركة الأميرة.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M110_NPC0040_m,M01_E01_2000_M110_NPC0040_m,dialogue,見つかった遺跡には、未知の魔法知識が\n眠っているやもしれませぬ。,وربما تكون هناك معرفة سحرية مجهولة\nنائمة في تلك الأطلال المكتشفة.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M120_NPC0040_m,M01_E01_2000_M120_NPC0040_m,dialogue,それを用いれば、姫様の負担も\nきっと減らせるはずです。,وإذا استخدمناها، فبالتأكيد\nسنخفف العبء عن كاهل الأميرة.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M140_NPC0030_m,M01_E01_2000_M140_NPC0030_m,dialogue,……余とて、ヒューリア一人に\n重荷を背負わせていることはわかっている。,……أنا أيضًا أعلم أننا نلقي بالعبء\nكله على عاتق هيوريا بمفردها.,Translated and verified.,"[""\\n""]"
EL_M01_E01_2000_M160_NPC0010_f,M01_E01_2000_M160_NPC0010_f,dialogue,お父様、カイフリード。\n私なら大丈夫です。,أبي، كايفرايد.\nأنا بخير، لا تقلقا.,Translated and verified.,"[""\\n""]"
