ftext_key,source_ja,approved_arabic,category,batch,status,reviewed_by,date,notes
M04_E15_3000,マオを連れ戻してくれたお礼に氷結の呪いについて教えてもらう。\nエリオットは氷結の呪いに関する情報を共有するため、学者の元へ戻る,مكافأةً على إعادة ماو، يتعلم عن لعنة التجميد.\nيعود إليوت إلى العالِم لمشاركة المعلومات المتعلقة بلعنة التجميد.,menu,0,approved,Antigravity,2026-06-18,
M05_A1MGC_E01_1000_M030_NPC0200_m,考えた上での決定だ。\n今後、ミュー族との交流と魔法の使用を一切禁じる！,هذا قرار اتُّخذ بعد تفكير عميق.\nيُمنع منعًا باتًا من الآن فصاعدًا التواصل مع عرق ميو واستخدام السحر!,menu,0,approved,Antigravity,2026-06-18,
M06_E04_1000,バケネコを倒した主人公。一体何者だったのか？と疑問は残るものの、目的は達成した\n主人公は急いで城に戻る,البطل يهزم القطة الوحشية. على الرغم من بقاء تساؤل حول هويتها الحقيقية،إلا أن الهدف قد تحقق.\nيعود البطل مسرعًا إلى القلعة.,menu,0,approved,Antigravity,2026-06-18,
BA260AEA4FDDB33B3F6410814B77609B,<ja_InGame>日本語</>,<ja_InGame>اليابانية</>,ui,0,approved,Antigravity,2026-06-18,
E535EA6B4B87EB0E7BED96AEE7E737DE,<ja_Title>日本語</>,<ja_Title>اليابانية</>,ui,0,approved,Antigravity,2026-06-18,
MiniGameRecordAcqConditions01,スコア{0}　達成,تحقيق النتيجة {0},ui,0,approved,Antigravity,2026-06-18,
SubQuestType_BountyBomb,爆弾で{0}を倒す,هزيمة {0} باستخدام القنبلة,ui,0,approved,Antigravity,2026-06-18,
BC5E39EA42ABED266025658C236B5804,Press FaceButton Right<cf>to PlayAllEffect,اضغط الزر الأيمن<cf>لتشغيل جميع التأثيرات,ui,0,approved,Antigravity,2026-06-18,
6E903F704B8D134F41CBF588EA6DB778,Current Time: {0}<cf>Previous Time: {1},الوقت الحالي: {0}<cf>الوقت السابق: {1},ui,0,approved,Antigravity,2026-06-18,
F7B3B91347610003BB883E83DDD84B25,[D-Pad] : Select<cf>[B]         : Spawn,[D-Pad]: تحديد<cf>[B]: توليد,ui,0,approved,Antigravity,2026-06-18,
MainMenuSystemDscNSWGraphicModeGraph,描画解像度を優先します。\nグラフィックを高品質に保ちます。,إعطاء الأولوية لدقة العرض.\nالحفاظ على جودة عالية للرسومات.,menu,0,approved,Antigravity,2026-06-18,
MainMenuSystemApplyDialog,変更が適用されていません。\n設定内容を反映しますか？,لم يتم تطبيق التغييرات.\nهل تريد حفظ الإعدادات؟,menu,0,approved,Antigravity,2026-06-18,
