id,ftext_key,category,source_text,arabic_translation,notes,placeholders
EL_002A77DE46F91466246AE1B58111B62D,002A77DE46F91466246AE1B58111B62D,skill_description,クリティカルダメージ上昇,زيادة ضرر الحرجة,,[]
EL_03B7F3EF41AC5580B36ADCBBDFB82231,03B7F3EF41AC5580B36ADCBBDFB82231,item_name,ませきのなまえ,اسم حجر السحر,Hiragana placeholder text meaning 'name of magic stone'. Translated as generic label.,[]
EL_0A16B463475BEE0A579C2A84D5D62F17,0A16B463475BEE0A579C2A84D5D62F17,quest_title,クリア報酬,مكافأة الإنهاء,,[]
EL_0AE1640344D076AB9611A28E06490788,0AE1640344D076AB9611A28E06490788,item_description,装備切り替えショートカット起動,تفعيل اختصار تبديل التجهيزات,,[]
EL_128CDF6C4B9AD9A496D0AE804602FF5E,128CDF6C4B9AD9A496D0AE804602FF5E,skill_description,アビリティ切り替え・逆送り,تبديل القدرة — عكسي,,[]
EL_1970A8D14549CEE5056292AE534D785A,1970A8D14549CEE5056292AE534D785A,skill_description,サポートアビリティ使用,استخدام قدرة الدعم,,[]
EL_1C000D1C478083C4EE668AAAD66ED134,1C000D1C478083C4EE668AAAD66ED134,quest_title,クエスト,المهام,,[]
EL_2BA3005B4E2A8361EA7FECBD39A909FF,2BA3005B4E2A8361EA7FECBD39A909FF,item_name,装備中の魔石,حجر السحر المجهَّز,,[]
EL_3AFF63934F5DBEA87F92D28CC25C1C97,3AFF63934F5DBEA87F92D28CC25C1C97,item_name,魔石箱レベル,مستوى صندوق حجر السحر,[FIT-CHECK: short_arabic: مستوى صندوق الحجر],[]
EL_4201DA654F21A83F7C7EDA8995E99C19,4201DA654F21A83F7C7EDA8995E99C19,skill_description,サポートアビリティ使用,استخدام قدرة الدعم,,[]
EL_4C26395643FB3478EBBBD1A0870E4E2B,4C26395643FB3478EBBBD1A0870E4E2B,item_name,装備中の魔石,حجر السحر المجهَّز,,[]
EL_50C4E22340AD6631A346EA8A090D78A9,50C4E22340AD6631A346EA8A090D78A9,skill_description,・ライフが０になる際に自動で回復薬を使用：あり,· استخدام دواء الشفاء تلقائيًا عند نفاد نقاط الصحة: مفعَّل,,[]
EL_50E9B2D943015F3782D8938175A06A2A,50E9B2D943015F3782D8938175A06A2A,item_name,魔石の欠片,شظية حجر السحر,,[]
