id,ftext_key,original_text,category,confidence
EL_12337C3B4B53378BA9E2CF8E9F928483,12337C3B4B53378BA9E2CF8E9F928483,難易度は途中で切り替えられます,unknown,high
EL_1A70385444CB1B515B834AB9E75E8CF6,1A70385444CB1B515B834AB9E75E8CF6,この文字はダミーで■この文字は,unknown,high
EL_35C6009B4188E9186B765E80497B8DB0,35C6009B4188E9186B765E80497B8DB0,魔法の時代のタイムゲートダンジョンへ向かおう,unknown,high
EL_53A97AD34A0753BBCBE812B466C6FEB2,53A97AD34A0753BBCBE812B466C6FEB2,魔法の時代のタイムゲートダンジョンへ向かおう,unknown,high
EL_5A6D4DFC4DF98BFACD65328A4A98492B,5A6D4DFC4DF98BFACD65328A4A98492B,魔法の時代のタイムゲートダンジョンへ向かおう,unknown,high
EL_754508AD45066A5BD6859794EFD96EAC,754508AD45066A5BD6859794EFD96EAC,サポートキャラアクション,unknown,high
EL_75989CC14DE87E4D68EAF69245ECA89D,75989CC14DE87E4D68EAF69245ECA89D,ストーリー：父の行方を探すもの,unknown,high
EL_90D2CA2F428F37B0E9D65CB1E0536CDF,90D2CA2F428F37B0E9D65CB1E0536CDF,ゲームを終了し、タイトルへ戻ります,unknown,high
EL_90F88F79432AA25D1223CC980ABC28B2,90F88F79432AA25D1223CC980ABC28B2,サポートキャラアクション,unknown,high
EL_A11B92994C46629CF1A7E1A5E6CC3E91,A11B92994C46629CF1A7E1A5E6CC3E91,魔法の時代のタイムゲートダンジョンへ向かおう,unknown,high
EL_A30E4F394D158B80BAB74DAE0365DF9B,A30E4F394D158B80BAB74DAE0365DF9B,※特典は一度のプレイで1回しか受け取れません,unknown,high
EL_A5DECC104F55CD33F73015A82BDE9069,A5DECC104F55CD33F73015A82BDE9069,この文字はダミーで■この文字は,unknown,high
EL_A9_TITLE_5_NAME,A9_TITLE_5_NAME,トライアングルストラテジー,unknown,high
EL_ACCESSORY_10_DESCRIPTION,ACCESSORY_10_DESCRIPTION,・フェイの通常攻撃が強化される,unknown,high
EL_ACCESSORY_13_DESCRIPTION,ACCESSORY_13_DESCRIPTION,"""・<img id=""""RI_ICON_BUFF_ATTACK""""/><img id=""""RI_ICON_BUFF_DEFENSE""""/><img id=""""RI_ICON_BUFF_SUPPORT""""/><img id=""""RI_ICON_BUFF_STEALTH""""/>の持続時間が{Num:1}％上昇""",unknown,high
EL_ACCESSORY_15_DESCRIPTION,ACCESSORY_15_DESCRIPTION,・気絶、凍結の状態異常を防ぐ,unknown,high
EL_ACCESSORY_16_NAME,ACCESSORY_16_NAME,大樹の輝石のペンダント,unknown,high
EL_ACCESSORY_17_DESCRIPTION,ACCESSORY_17_DESCRIPTION,・投げた物が着弾時に爆発する（爆弾を除く）,unknown,high
EL_ACCESSORY_18_DESCRIPTION,ACCESSORY_18_DESCRIPTION,・幸運と不運に遭遇しやすくなる,unknown,high
EL_ACCESSORY_19_DESCRIPTION,ACCESSORY_19_DESCRIPTION,"""・敵が落とす<img id=""""RI_ICON_MS_PIECE""""/>の数が{Num:1}％上昇""",unknown,high
EL_ACCESSORY_20_DESCRIPTION,ACCESSORY_20_DESCRIPTION,"""・敵が落とす<img id=""""RI_ICON_MONEY""""/>の数が{Num:1}％上昇""",unknown,high
EL_ACCESSORY_24_DESCRIPTION,ACCESSORY_24_DESCRIPTION,"""・敵が<img id=""""RI_ICON_MONEY""""/><img id=""""RI_ICON_MS_PIECE""""/>を落とす確率が少し上昇""",unknown,high
EL_Area_Ancestor,Area_Ancestor,ウエスト・エリア　北部,unknown,high
EL_Area_Birds,Area_Birds,グランドツリー　入口前,unknown,high
EL_Area_Desert_East,Area_Desert_East,エッダ・トレイル　東部,unknown,high
EL_Area_Desert_West,Area_Desert_West,エッダ・トレイル　西部,unknown,high
EL_Area_Grass_East_A1,Area_Grass_East_A1,ヒューク・エリア　東部,unknown,high
EL_Area_Grass_East,Area_Grass_East,ヒューク・エリア　東部,unknown,high
EL_Area_Grass_North,Area_Grass_North,ヒューク・エリア　北部,unknown,high
EL_Area_Grass_West_A1,Area_Grass_West_A1,ヒューク・エリア　西部,unknown,high
EL_Area_Grass_West,Area_Grass_West,ヒューク・エリア　西部,unknown,high
EL_Area_Snow_Dragon,Area_Snow_Dragon,ドラゴンピラー　入口前,unknown,high
EL_Area_Snow_North,Area_Snow_North,ホワイト・エリア　北部,unknown,high
EL_Area_Snow_South,Area_Snow_South,ホワイト・エリア　南部,unknown,high
EL_Area_Swamp_South,Area_Swamp_South,ウエスト・エリア　南部,unknown,high
EL_Area_Town_A2_North,Area_Town_A2_North,魔法の国ウェイゼン　北門,unknown,high
EL_Area_Town_A2_West,Area_Town_A2_West,魔法の国ウェイゼン　西門,unknown,high
EL_Area_Town_A3_North,Area_Town_A3_North,リトルホープの村　北入口,unknown,high
EL_Area_Town_A3_West,Area_Town_A3_West,リトルホープの村　西入口,unknown,high
EL_ARROW_EX_1_DESCRIPTION,ARROW_EX_1_DESCRIPTION,・矢の最大所持量が{Num:1}増加,unknown,high
EL_B81560C0471A13B1C4A7BAA4AA74BC19,B81560C0471A13B1C4A7BAA4AA74BC19,受け取り可能な特典はありません,unknown,high
EL_BOMB_EX_1_DESCRIPTION,BOMB_EX_1_DESCRIPTION,・爆弾の最大所持量が{Num:1}増加,unknown,high
EL_BOS000_Appear_Title,BOS000_Appear_Title,[開発用]トリ族（通常）登場,unknown,high
EL_BOS000_Death_Title,BOS000_Death_Title,[開発用]トリ族（通常）死亡,unknown,high
EL_BOS000_Last_Appear_Title,BOS000_Last_Appear_Title,[開発用]トリ族（バケネコ戦前）登場,unknown,high
EL_BOS000_Last_Death_Title,BOS000_Last_Death_Title,[開発用]トリ族（バケネコ戦前）死亡,unknown,high
EL_BOS001_Appear_Title,BOS001_Appear_Title,[開発用]トリ族（強化）登場,unknown,high
EL_BOS001_Death_Title,BOS001_Death_Title,[開発用]トリ族（強化）死亡,unknown,high
EL_BOS010_Appear_Title,BOS010_Appear_Title,[開発用]カエル族（通常）登場,unknown,high
EL_BOS010_Death_Title,BOS010_Death_Title,[開発用]カエル族（通常）死亡,unknown,high
EL_BOS011_Appear_Title,BOS011_Appear_Title,[開発用]カエル族（強化）登場,unknown,high
EL_BOS011_Death_Title,BOS011_Death_Title,[開発用]カエル族（強化）死亡,unknown,high
EL_BOS020_Appear_Title,BOS020_Appear_Title,[開発用]オオカミ族（通常）登場,unknown,high
EL_BOS020_Death_Title,BOS020_Death_Title,[開発用]オオカミ族（通常）死亡,unknown,high
EL_BOS020_Last_Appear_Title,BOS020_Last_Appear_Title,[開発用]オオカミ族（バケネコ戦前）登場,unknown,high
EL_BOS020_Last_Death_Title,BOS020_Last_Death_Title,[開発用]オオカミ族（バケネコ戦前）死亡,unknown,high
EL_BOS021_Appear_Title,BOS021_Appear_Title,[開発用]オオカミ族（強化）登場,unknown,high
EL_BOS021_Death_Title,BOS021_Death_Title,[開発用]オオカミ族（強化）死亡,unknown,high
EL_BOS030_Appear_Title,BOS030_Appear_Title,[開発用]ネズミ族（通常）登場,unknown,high
