key,source,target
BonusItemName/DLC_TITLE_4_NAME,حزمة انطلاق إليوت①: إكسسوار «بروش الانطلاق»,
BonusItemName/DLC_TITLE_5_NAME,حزمة انطلاق إليوت ②: حجر السحر للسيف «زيادة الهجوم»,
BonusItemName/BONUS_TITLE_1_NAME,مكافأة ربط بيانات الحفظ: أوكتوباث ترافيلر 0,
BonusItemName/BONUS_TITLE_5_NAME,مكافأة ربط بيانات الحفظ: ترايانغل ستراتيجي,
BonusItemName/BONUS_TITLE_2_NAME,مكافأة ربط بيانات الحفظ: دراغون كويست I & II,
BonusItemName/BONUS_TITLE_4_NAME,مكافأة ربط بيانات الحفظ: فاريوس داي لايف,
BonusItemName/BONUS_TITLE_3_NAME,مكافأة ربط بيانات الحفظ: بريفلي ديفولت فلاينغ فيري إتش دي ريماستر,
BonusItemName/BONUS_TITLE_6_NAME,مكافأة ربط بيانات الحفظ: ترايلز أوف مانا,
BonusItemName/BONUS_TITLE_6_NAME_XBOX,مكافأة ربط بيانات الحفظ: ترايلز أوف مانا,
BonusItemName/DLC_TITLE_1_NAME,حزمة ديجيتال ديلوكس①: إكسسوار «سوار الجنّية»,
BonusItemName/DLC_TITLE_2_NAME,حزمة ديجيتال ديلوكس②: إكسسوار «خلخال زهر الكرز»,
BonusItemName/DLC_TITLE_3_NAME,حزمة ديجيتال ديلوكس③: إكسسوار «خاتم روزيل»,
BonusTitleCopyright/A9_TITLE_2_COPYRIGHT,© ARMOR PROJECT/BIRD STUDIO/SPIKE CHUNSOFT/SQUARE ENIX,
BonusTitleCopyright/A9_TITLE_1_COPYRIGHT,© SQUARE ENIX,
BonusTitleCopyright/A9_TITLE_3_COPYRIGHT,© SQUARE ENIX,
BonusTitleCopyright/A9_TITLE_4_COPYRIGHT,© SQUARE ENIX,
BonusTitleCopyright/A9_TITLE_5_COPYRIGHT,© SQUARE ENIX,
BonusTitleCopyright/A9_TITLE_6_COPYRIGHT,© SQUARE ENIX,
BonusTitleName/A9_TITLE_1_NAME,OCTOPATH TRAVELER 0,
BonusTitleName/A9_TITLE_5_NAME,TRIANGLE STRATEGY,
BonusTitleName/A9_TITLE_2_NAME,دراجون كويست 1 و2 (Dragon Quest I & II),
BonusTitleName/A9_TITLE_4_NAME,فيالياد سويراف,
BonusTitleName/A9_TITLE_3_NAME,BRAVELY DEFAULT FLYING FAIRY HD Remaster,
BonusTitleName/A9_TITLE_6_NAME,聖剣伝説3 TRIALS of MANA,
BonusTitleName/A9_TITLE_6_NAME_XBOX,Trials of Mana,
CharacterName/BLANK,None,
CharacterName/BOS501,None,
CharacterName/BOS511,None,
CharacterName/BOS521,None,
CharacterName/BOS522,None,
CharacterName/BOS531,None,
CharacterName/BOS532,None,
CharacterName/BOS541,None,
CharacterName/BOS801,None,
CharacterName/BOS802,None,
CharacterName/ENM000,None,
CharacterName/ENM001,None,
CharacterName/ENM002,None,
CharacterName/ENM003,None,
CharacterName/ENM010,None,
CharacterName/ENM011,None,
CharacterName/ENM012,None,
CharacterName/ENM013,None,
CharacterName/ENM020,None,
CharacterName/ENM021,None,
CharacterName/ENM022,None,
CharacterName/ENM023,None,
CharacterName/ENM030,None,
CharacterName/ENM031,None,
CharacterName/ENM032,None,
CharacterName/ENM033,None,
CharacterName/ENM040,None,
CharacterName/ENM041,None,
CharacterName/ENM042,None,
CharacterName/ENM043,None,
CharacterName/ENM100,None,
CharacterName/ENM101,None,
CharacterName/ENM102,None,
CharacterName/ENM103,None,
CharacterName/ENM110,None,
CharacterName/ENM111,None,
CharacterName/ENM112,None,
CharacterName/ENM113,None,
CharacterName/ENM201,None,
CharacterName/ENM202,None,
CharacterName/ENM203,None,
CharacterName/ENM300,None,
CharacterName/ENM301,None,
CharacterName/ENM302,None,
CharacterName/ENM310,None,
CharacterName/ENM311,None,
CharacterName/ENM312,None,
CharacterName/ENM320,None,
CharacterName/ENM321,None,
CharacterName/ENM322,None,
CharacterName/ENM400,None,
CharacterName/ENM401,None,
CharacterName/ENM402,None,
CharacterName/ENM410,None,
CharacterName/ENM411,None,
CharacterName/ENM412,None,
CharacterName/ENM420,None,
CharacterName/ENM421,None,
CharacterName/ENM422,None,
CharacterName/ENM500,None,
CharacterName/ENM600,None,
CharacterName/FireBird,None,
CharacterName/GMK002,None,
CharacterName/GMK003,None,
CharacterName/GMK004,None,
CharacterName/GMK005,None,
CharacterName/RACE_BOS000,None,
CharacterName/RACE_BOS010,None,
CharacterName/RACE_BOS020,None,
CharacterName/RACE_BOS030,None,
CharacterName/RACE_BOS040,None,
CharacterName/RACE_BOS050,None,
CharacterName/RACE_ENM000,None,
CharacterName/RACE_ENM010,None,
CharacterName/RACE_ENM020,None,
CharacterName/RACE_ENM030,None,
CharacterName/RACE_ENM040,None,
CharacterName/RACE_ENM100,None,
CharacterName/RACE_ENM110,None,
CharacterName/RACE_ENM200,None,
CharacterName/RACE_ENM300,None,
CharacterName/RACE_ENM400,None,
CharacterName/RACE_ENM500,None,
CharacterName/RACE_ENM600,None,
CharacterName/RACE_UNKNOWN,None,
CharacterName/NPC2351_00,باحث مذعور,
CharacterName/NPC2354_00,باحث مستاء,
CharacterName/NPC2322_02,باحث غافل,
CharacterName/NPC2020_00,تاجر ثرثار,
CharacterName/NPC1032_00,عجوز هادئ,
CharacterName/NPC2345_00,باحث مصدوم,
CharacterName/NPC3310_00,رجل متعب,
CharacterName/NPC2346_00,باحث محبط,
CharacterName/NPC3013_00,مغامر فطن,
CharacterName/NPC2339_00,باحث فظ,
CharacterName/NPC2300_00,باحث متحمس,
CharacterName/NPC0170,إيكاروس,
CharacterName/NPC2004_00,تابع إيكاروس الشجاع,
CharacterName/NPC2118,زوجة إيكاروس,
CharacterName/NPC2304_00,تابع إيكاروس النزيه,
CharacterName/NPC2003_00,تابع إيكاروس المخلص,
CharacterName/NPC2303_00,تابع إيكاروس الصادق,
CharacterName/NPC4369,إيتشيرو,
CharacterName/NPC4300,القائد أوزان,
CharacterName/NPC4300_01,رسالة القائد أوزان,
CharacterName/PCM000,إليوت,
CharacterName/PCM000_04,إليوت,
CharacterName/BOS041,كبير جنرالات إيليفان,
CharacterName/BOS040,جنرال إيليفان الشرس,
CharacterName/NPC0200,كاي,
CharacterName/NPC0200_02,كاي,
CharacterName/NPC1013_00,زوجة كاي,
CharacterName/NPC1041_00,ابن كاي,
CharacterName/NPC0040_02,كايفرايد,
CharacterName/NPC0040,الوزير كايفرايد,
CharacterName/NPC4033_00,وصيفة الوزير كايفرايد,
CharacterName/NPC4025_00,كبير خدم الوزير كايفرايد,
CharacterName/NPC0130,كاروتيسيا,
CharacterName/NPC0130_02,كاروتيسيا,
CharacterName/NPC0190,كارتر,
CharacterName/NPC0190_02,كارتر,
CharacterName/NPC0190_03,كارتر,
CharacterName/NPC3032_00,بائعة الخردوات,
CharacterName/NPC1029,العجوز العنيد,
