ID,source text,Arabic translation,category,notes
EL_0114336B4216AB626EE4C99617A22123,ALL OUT,ALL OUT,ui,
EL_019932354F7687AFACF6C2B6CF55AB48,Ennio Morricone,Ennio Morricone,ui,
EL_01EC95AC498656628BE685946464A869,ボイス言語,لغة الأصوات,menu,
EL_02B5F8F941279193B771F78F197BD108,満腹度,الشبع,ui,
EL_0320D5874AADD3871F64C4B9307C58F1,TentB,TentB,ui,
EL_032C010C42D357B1002DA6BB28FBFF3B,Jessica Williams,Jessica Williams,ui,
EL_03469CB846B814E021AA0CAD734A8D5B,CoreOut,CoreOut,ui,
EL_04674BB94ADFB899FF75FF99CF1E2E63,スコア,النتيجة,ui,
EL_04F8093F47A28027E13E148ED0776390,大事な物,أغراض مهمة,ui,
EL_055BBDA340D04C43992EFF814507C5A8,Clear,Clear,ui,
EL_0591FF134F228DA0210D39806E5AF5D9,マウス設定,إعدادات الفأرة,menu,
EL_059676F44E964F63E19ACF9D7C2ABF35,グラフィック,الرسومات,ui,
EL_05E6AD40480D1B173F3DC89A0F6136EA,Warp,Warp,ui,
EL_06367D0A44B817AE3F2B0D9A062C6233,Torus,Torus,ui,
EL_06503EF7476D10CB81A328B779F94E47,ダンジョン,الدهليز,ui,
EL_06C5262F4A8CA8EDCB4B60A67569F40C,TIME<cf>+5,الوقت<cf>+5,ui,
EL_06E2EBD241CE2BF5C0E649B654A4BA4D,CircularSawAttack,CircularSawAttack,ui,
EL_07036BF6458D6B8FB446BB962D0D143E,目的地ガイドの表示,عرض دليل الوجهة,ui,
EL_072EC4F24E12CC05730D49A8DE7B66CA,オート,تلقائي,ui,
EL_07597BCD40F1CFAA62E049AA479A8F48,※難易度は現在変更できません,* لا يمكن تغيير مستوى الصعوبة حاليًا,system_message,
EL_078089364E99CD40607084B494E45BC5,コントローラー,أداة التحكم,menu,
EL_0873014745A99E0A415B099350CCCCEA,標準的な描画設定です,إعدادات الرسومات القياسية.,menu,
EL_08BBFBBB4FFBB34DA9918DA1C2F9C870,戻る,رجوع,menu,
EL_08C192C1406F35996DC34B9AB6C3B3C0,メニュー起動,فتح القائمة,ui,
EL_08F25B654C27B8527E0FE1BD937A3B6B,BodyFallAttack,BodyFallAttack,ui,
EL_09815B634E9BACCC1FE4CDBB6B735763,Normal,Normal,ui,
EL_09B3A69C4CF0881B59508A8C83F6E8F4,全体の音量,الصوت العام,menu,
EL_09B8B1054211BD327EDDA9A99B455065,x 50,x 50,ui,
EL_09E5E188426402EC6E26858FF0493BEB,オフ,إيقاف,menu,
EL_0A11071C45DFFB418ACF48A29A5FF799,Status,Status,ui,
EL_0A64052845244CAC02666386A20BE519,Normal,Normal,ui,
EL_0B6E1E1D452D537BA313648C0392B496,操作方法を示すガイドを適宜再表示します。,سيتم إعادة عرض دليل التحكم عند الحاجة.,tutorial,
EL_0BF5E6EA4AFD5443C0250085441F8428,ゆっくり,ببطء,ui,
EL_0C0B30984EAAB8F18A61B8BB2C10F4FF,ファスト先の名称,اسم وجهة الانتقال السريع,ui,
EL_0C1171D44B40BD6998AD95B81D22F20C,一括分解,تفكيك الكل,ui,
EL_0C3FDD844CFA141414B6A5BAD5B16CF6,Ellipsoid,Ellipsoid,ui,
EL_0CA8A892482B84E3AC470B98C9A57BBA,SpecialAttack,SpecialAttack,ui,
EL_0CBE553040D04BE39DBFD785E342175D,攻撃薬,جرعة الهجوم,ui,
EL_0D94D5E843E403E0021B1BA832352DBA,ShiningPunch,ShiningPunch,ui,
EL_0DD15CA349F2CDB269E19FA20BEDB9FC,HouseC,HouseC,ui,
EL_0FC1590848688B4B84FA1BAC3138EDEF,BombAttack,BombAttack,ui,
EL_101528E24AFD98F6243CE9B85C1D5308,MagmaAttack,MagmaAttack,ui,
EL_101F8D8842CB2F2AA52196BB45510808,文字表示設定,إعدادات عرض النص,menu,
EL_10B4B76849B3632CF9881EBB7AD20F8C,駆け出し勇者の証,شعار البطل المبتدئ,ui,
EL_10C5B986465FB88727CD07A3D1FD33D1,難易度名,اسم مستوى الصعوبة,ui,
EL_111DB6BB4D80D1E586262C95AFCD4926,ShiningSlam,ShiningSlam,ui,
EL_115B010E4A1D1CE62A8BACB3AD9C3365,はずす,إزالة,ui,
EL_1233A92C4192A882EE2AB0952C68173D,連動画面での注意表示,تنبيه شاشة الربط,ui,
EL_128AA4B44E2D93A2A0A9D2B7D0FAB8E3,SpinAttack,SpinAttack,ui,
EL_131C75DF45A390F598583391F0882AEA,オートセーブから再開,الاستئناف من الحفظ التلقائي,system_message,
EL_136045F74533FBCB8CC4CEBCCF533C99,妖精・フェイ,الجنية فاي,ui,
EL_13D08BF24F2840763E2CFD9C77F42E96,AutoSaveCheck,AutoSaveCheck,ui,
EL_13F43D1D42B9F3ACC5CEDFADBA04F986,Down,Down,ui,
EL_1449686843101E63B9848893156AFE2E,Emily Taylor,Emily Taylor,ui,
EL_14C6C6A847205996BD2BA795ADF0B764,音量,مستوى الصوت,menu,
EL_1541208D4E4C081C34069BA4D1EF47A9,TornadoAttack,TornadoAttack,ui,
EL_15BD24444BA49281C98116BE7D367001,未視聴曲,مقطوعات غير مسموعة,ui,
EL_165804E84614898635B3C2BF9573B82C,Claytechworks,Claytechworks,ui,
EL_166DBD5F4AEFF611085A8BBECDD198AD,持ち上げる,رفع,ui,
EL_166EE0A5452C02E1BDB27185F50E2CB4,決定ボタンの設定,إعدادات زر التأكيد,menu,
EL_1695A94C4112BE442C9EC7B4F4B7960C,目次,الفهرس,ui,
EL_16A697D549AC1749608DA7A6829D0A07,叡智の秘石・チャッカ,حجر الحكمة السري: تشاكا,ui,
EL_16D2E5CC46E0EB969A8D8385AF8322CC,イベント設定,إعدادات الأحداث,menu,
EL_17112D1B4CF5BDC484EBAF8AF1F1AD3D,Madison Rodríguez,Madison Rodríguez,ui,
EL_173DED89445BFD584B64C3BEE31C50D2,CharacterID,CharacterID,ui,
EL_177825C0478E6450FCCC8DB556DF16B8,Wall,Wall,ui,
EL_17873B5D45547D6D22C0D5BC0ECD518A,画面の明るさ,سطوع الشاشة,menu,
EL_17C542B2481E1571138C07B498B690D8,Jessica Williams,Jessica Williams,ui,
EL_184A0AE04EBE94F6CEEDF5B65512B0E5,PlayList,PlayList,ui,
EL_18B2A8D645C5F9B6C9C957A9627B7C07,Help,Help,ui,
EL_18EDC2C64EC2BF18034158960B811544,画面効果の強さ,قوة تأثيرات الشاشة,menu,
EL_18F84F674E6EF00E1B12D9B9C7FDF43A,コントローラースピーカー,مكبر صوت أداة التحكم,menu,
EL_190D144545E27F163790729257BF6BBD,NPCTalkTest,NPCTalkTest,ui,
EL_196F33D94CF92A979798B090284706C5,フェイ設定,إعدادات فاي,menu,
EL_1980481C4F4CC265D3522584E70649F3,Appear,Appear,ui,
EL_199482954865C547D05FD3BAA900FA34,冒険の扉を開け,افتح باب المغامرة,ui,
EL_19C902E74FE87FDBCEB738B17E8A1CCC,Multiple Values,Multiple Values,ui,
EL_19CB64AA499AFAB3778784895F694C3E,KnockDown,KnockDown,ui,
EL_1A0B0EBD4427D43F3397B6AE8BE4C0DD,ボイス言語,لغة الأصوات,menu,
EL_1AA9900C40A2F6E509B71487259137BE,Emoticon - Joy,Emoticon - Joy,ui,
EL_1BFE14AD4D310A5571FC65AFCECFE7EC,Left,Left,ui,
EL_1CA7F9694AB186B28D39239A0A5C12FD,Bloom Threshold,Bloom Threshold,ui,
EL_1CEE80744F8539A22EFF329EA2439BD3,駆け出し勇者の証,شعار البطل المبتدئ,ui,
EL_1D0B66FB432D58509A26269C6AA09D34,目的地ガイドの表示,عرض دليل الوجهة,ui,
EL_1DB90C864D3AB2DB80B377B9405F8632,ビネット,تظليل الأطراف,ui,
EL_1F59C8534DBEEE33E5700CAA53AF9A1B,普通,عادي,ui,
EL_1FA3C26C4A6909DDE0EC2C923D01A076,Player,Player,ui,
EL_204ED3E441504EFB18627E833C353A52,アイテム名,اسم العنصر,ui,
EL_212B7C1B4367B6C2E5CB5A9973DC9316,コスト上限,حد التكلفة,ui,
EL_23102990447E972A1C49A1A7B10F85EF,Roar,Roar,ui,
EL_231919F945A5FC933C5202AFF581E792,Cone,Cone,ui,
EL_23CAEA99447C7AE950501EAC699E13A8,・敵のライフ：少ない,• صحة الأعداء: منخفضة,ui,
EL_247B2F5842D2FB5FBD8D2382D7A10F8A,SoundCheck,SoundCheck,ui,
EL_25ACA23D48450C8EB8F28C9AE3EACE02,画面効果の強さ,قوة تأثيرات الشاشة,menu,
EL_25DBF4234EC0A38DFDEE34BFF890C864,FaceName,FaceName,ui,
EL_25FA6C754B5A96C2251C9281147F7549,Death,Death,ui,
EL_25FFCE9A4751D8CAC019D48EB5D39BCA,Floor,Floor,ui,
EL_261BC5F249E4A63821914EB7FE8A5980,プレイデータの収集期間は終了しました。<cf>ネックワーク接続をオンにすることはできません。,لقد انتهت فترة جمع بيانات اللعب. <cf>لا يمكن تفعيل الاتصال بالشبكة.,system_message,
EL_262F655F452DE9D8F2F169A737B915CB,画面解像度,دقة الشاشة,menu,
EL_26DD67C148472E50603F97856D4EF104,LegAttack,LegAttack,ui,
EL_270BD0A74B73C68D3C48EF8EA281CD92,Hide,Hide,ui,
EL_28335DB440698E6D77CC0593692A4D46,roomB,roomB,ui,
EL_2871592C461A267197E9D6BE85FA976B,Erorr,Erorr,ui,
EL_2883DD764ABD36EB65336D9A59C2740D,BulletAttack_Left,BulletAttack_Left,ui,
EL_292838DA43179D38C902389BDEE38E0D,Creative Director,Creative Director,ui,
EL_29501554410678ACF4409F9C47BFCE61,OneDeath,OneDeath,ui,
EL_29693F3E4EF65C7854E0599E3B901482,コントローラー,أداة التحكم,menu,
EL_297272514334E73115993DBBEC74DD47,これ以上、装備コストの拡張はできません。,لا يمكن زيادة حد تكلفة المعدات أكثر من ذلك.,system_message,
EL_29AF420C475AA7268625F3AA4744475E,Death,Death,ui,
EL_29BB3F804360C7688E598A909C5B712D,以下のプレイデータが見つかりました!,تم العثور على بيانات اللعب التالية!,system_message,
EL_29CB2FAA4CF3FC88D7876A8C04643443,獲得したレコードとスコアは<cf>なくなります。<cf><cf>やりなおしますか？,ستفقد التسجيلات والنتيجة التي حققتها. <cf>هل تريد البدء من جديد؟ <cf><cf>,system_message,
EL_29E09ED444384554E2D9B7A9EDD0C5CA,最高,الأعلى,menu,
EL_2AB9381640AC565EDEB474B1800F7152,Aperture,Aperture,ui,
EL_2AC14626485002EE256D8F82FD189D03,駆け出し勇者の証,شعار البطل المبتدئ,ui,
EL_2AE2E58041CC78DA06DF17B6DAA17EA7,言語設定,إعدادات اللغة,menu,
EL_2B0DD22E4FBA067C9F72AB87516C7496,環境音,الأصوات البيئية,ui,
EL_2B1C51A4445EDF2787BE39ABE62E2E79,画面効果の強さ,قوة تأثيرات الشاشة,menu,
EL_2BA9183B4A8857731974D89F2726EF5B,妖精・フェイ,الجنية فاي,ui,
EL_2BBA3BB04F18ABC5F537FE89EBCF75F7,Appear,Appear,ui,
EL_2BD7E2CF4699EE9C2591FE864A7317C7,Demo 1 - Basic,Demo 1 - Basic,ui,
EL_2BEDCF464F76F3CD5DB60491956F518D,持ち上げる,رفع,ui,
EL_2C4B2784469F1812FC4FEFB4D9D2AE8F,スキップ,تخطي,ui,
EL_2C91C77F463CA4BC0F3963A96FFCE903,スコア,النتيجة,ui,
EL_2C95F5564D6DF1BC42CB5EA734675D3B,叡智の秘石・チャッカ,حجر الحكمة السري: تشاكا,ui,
EL_2C972D5F4C10D61E77FA80B14C04BCA3,William Jones,William Jones,ui,
EL_2D168F444F1E8BEA20CF1187043EF357,オフ,إيقاف,menu,
EL_2D37FFBE4EFAE53945C206B48D93703D,ShootAttack,ShootAttack,ui,
EL_2D5993984C08D4F28F72DA92970A697A,ネコ探知の針,إبرة تعقب القطط,ui,enforced glossary/clean translation term
EL_2E4723FF40AA3098C0D4CE9011DD1C07,・セーブポイント：ライフ回復あり,• نقطة الحفظ: استعادة الصحة متاحة,system_message,
EL_2F74EC654E3E867BAE621FABFA97C07E,Focal Length,Focal Length,ui,
EL_30D26ACB48F5BED1D97A4B8349456CA6,All,All,ui,
EL_30D4040B4A26258966230292C959110B,SpeechBubbleCheck,SpeechBubbleCheck,ui,
EL_30E54DD2443F8604160692850A31E686,GRASShouse,GRASShouse,ui,
EL_30F56C714430F69D4DC34E8890F14A11,プレイヤー設定,إعدادات اللاعب,menu,
EL_3132A4034541F8FD19435394D83A5670,Rarelity 0,Rarelity 0,ui,
EL_315CC9B344C71860C7EDEDB57FA33059,SpecialAttack,SpecialAttack,ui,
EL_324EE9F44464EAA321E4DA8C8B99303B,画面効果の強さ,قوة تأثيرات الشاشة,menu,
EL_326E4B4249BD4F28D7D82B93A7E9C126,Stable,Stable,ui,
EL_3292821145CD55919953E1A0F589B4F9,プレイヤーアクション,حركات اللاعب,ui,
EL_32A594E845B0898C73804D919C41873A,Special Effects Supervisor,Special Effects Supervisor,ui,
EL_330F44544CF3735307FD599C21B3F148,Down,Down,ui,
EL_33754D35437B542E82B8BBBCE89B7813,R channel,R channel,ui,
EL_3385383440DC3C3B2556C8A073CFDE22,いいえ,لا,menu,
EL_3499213F466B5AAB68AFBE8550A9D781,Death,Death,ui,
EL_3553F3824E39C11E62A532800348AFBC,Rush,Rush,ui,
EL_35D0369247B1C668052FAE89DEE3B0AB,オフ,إيقاف,menu,
EL_363879E842DD8C9ED7CA3F87F3CCDA36,WEAPON OUT,WEAPON OUT,ui,
EL_363EAFF14892C2CB3DB2DCB627AEAF44,Enemy,Enemy,ui,
EL_36B8AA434FCE09FE4AD7FCBC81FD1AC4,Multiple Values,Multiple Values,ui,
EL_36C217294D7424FF3CC23F9724AD293E,Cylinder,Cylinder,ui,
EL_37675C3E404B87F2527CE3AD9FCC4EF6,スコア,النتيجة,ui,
EL_38823527494D96AE7965AEAAC08734CB,SpecialAttack,SpecialAttack,ui,
EL_389592AD48F15A13A07B93BA0AF099D1,Tired,Tired,ui,
EL_39C80FD741A704B06FC29F99AA7851F2,LightningAttack,LightningAttack,ui,
EL_39D11E904E3371B6E41E52B7F00774A6,キャンセル,إلغاء,menu,
EL_3ADFBA0448A76ABB797559AAD5E8C302,Distance,Distance,ui,
EL_3B67380A406B1D3DA5DFFC8494E10EA2,CaveOutX,CaveOutX,ui,
EL_3BC1FDCE4D0765265F792B886D193CF8,最高,الأعلى,menu,
EL_3BCDA6D44937ECB4D74BE3BA16A72CD7,対象タイトル,العنوان المستهدف,ui,
EL_3C09067E43B6CD9918CD19BF800F6F5A,FireLaser,FireLaser,ui,
